School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockhurst,2.64,3.0,5.64,2,3,1
De Smet Jesuit,2.43,3.15,5.58,4,1,2
SLUH,2.69,2.67,5.36,1,6,3
Christian Brothers College,2.26,2.99,5.25,8,4,4
Rock Bridge,2.22,3.02,5.23,9,2,5
St. Dominic,2.45,2.62,5.07,3,7,6
Chaminade College Prep,2.18,2.67,4.85,10,5,7
Rockwood Summit,2.38,2.35,4.72,6,16,8
Kickapoo,2.41,2.28,4.69,5,18,9
Lindbergh,2.04,2.45,4.49,11,11,10
Whitfield,1.98,2.51,4.48,13,8,11
Liberty (Wentzville),1.91,2.38,4.28,15,13,12
Ladue Horton Watkins,1.8,2.44,4.23,17,12,13
Lee's Summit,1.89,2.28,4.17,16,17,14
Vianney,1.65,2.47,4.12,24,9,15
Marquette,1.7,2.37,4.07,21,14,16
Park Hill South,1.55,2.47,4.02,26,10,17
Ft. Zumwalt East,1.79,2.16,3.95,18,23,18
John Burroughs,1.55,2.36,3.91,27,15,19
Liberty North,1.69,2.16,3.85,23,24,20
East (Kansas City),2.26,1.59,3.85,7,47,21
Ft. Zumwalt North,1.77,1.99,3.76,19,34,22
Webster Groves,1.32,2.24,3.56,38,20,23
Francis Howell Central,1.3,2.24,3.54,41,19,24
Blue Springs,1.46,2.06,3.52,32,32,25
Northwest (Cedar Hill),1.93,1.59,3.52,14,48,26
Clayton,1.51,2.01,3.52,30,33,27
Kirkwood,1.33,2.18,3.51,37,22,28
Park Hill,1.61,1.9,3.51,25,38,29
Francis Howell North,1.31,2.15,3.46,40,25,30
Lee's Summit West,1.23,2.14,3.37,45,26,31
Priory,1.43,1.92,3.34,34,36,32
Holt,1.24,2.09,3.32,43,30,33
Raymore-Peculiar,1.54,1.76,3.3,28,42,34
Oakville,1.38,1.88,3.26,35,39,35
Westminster Christian Academy,1.32,1.91,3.23,39,37,36
Eureka,1.09,2.14,3.23,52,27,37
Lafayette (Wildwood),1.06,2.09,3.15,53,29,38
Blue Springs South,1.03,2.07,3.11,54,31,39
Francis Howell,1.16,1.92,3.08,49,35,40
Hickman,1.69,1.29,2.98,22,59,41
Notre Dame (Cape Girardeau),2.01,0.94,2.96,12,73,42
Liberty,1.45,1.49,2.94,33,53,43
Ozark,1.38,1.52,2.9,36,51,44
Glendale,0.67,2.1,2.77,72,28,45
Ft. Zumwalt South,1.19,1.56,2.75,47,49,46
Central (Cape Girardeau),0.94,1.69,2.64,56,43,47
Platte County,1.2,1.42,2.62,46,55,48
Nixa,1.1,1.52,2.62,51,50,49
Ft. Zumwalt West,0.35,2.22,2.56,86,21,50
Mehlville,0.89,1.63,2.52,58,45,51
Carthage,1.7,0.81,2.51,20,79,52
Staley,0.62,1.78,2.4,75,41,53
Timberland,0.88,1.51,2.38,59,52,54
Troy Buchanan,0.57,1.8,2.37,77,40,55
Parkway Central,0.74,1.63,2.37,67,46,56
Lee's Summit North,1.47,0.86,2.33,31,76,57
Parkway West,1.27,1.02,2.29,42,68,58
Marshall,0.82,1.41,2.23,63,56,59
Lincoln College Prep,1.16,1.06,2.22,50,66,60
Hannibal,0.75,1.33,2.08,65,58,61
MICDS,0.93,1.1,2.02,57,65,62
Farmington,0.55,1.4,1.94,78,57,63
Orchard Farm,0.25,1.66,1.91,91,44,64
Affton,0.99,0.9,1.89,55,74,65
