School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Rockwood Summit,2.38,2.35,4.72,1,3,1
Whitfield,1.98,2.51,4.48,4,1,2
Ladue Horton Watkins,1.8,2.44,4.23,5,2,3
Ft. Zumwalt East,1.79,2.16,3.95,6,5,4
East (Kansas City),2.26,1.59,3.85,2,11,5
Webster Groves,1.32,2.24,3.56,8,4,6
Clayton,1.51,2.01,3.52,7,8,7
Holt,1.24,2.09,3.32,10,7,8
Notre Dame (Cape Girardeau),2.01,0.94,2.96,3,23,9
Glendale,0.67,2.1,2.77,22,6,10
Ft. Zumwalt South,1.19,1.56,2.75,12,12,11
Central (Cape Girardeau),0.94,1.69,2.64,15,9,12
Platte County,1.2,1.42,2.62,11,13,13
Parkway Central,0.74,1.63,2.37,20,10,14
Parkway West,1.27,1.02,2.29,9,20,15
Lincoln College Prep,1.16,1.06,2.22,14,19,16
Hannibal,0.75,1.33,2.08,19,15,17
MICDS,0.93,1.1,2.02,16,18,18
Farmington,0.55,1.4,1.94,25,14,19
Grain Valley,0.72,1.11,1.83,21,17,20
Capital City,0.86,0.89,1.74,17,24,21
Lutheran St. Charles,0.83,0.8,1.62,18,25,22
Pembroke Hill,1.19,0.27,1.46,13,33,23
St. Michael the Archangel,0.66,0.75,1.41,23,28,24
Springfield Catholic,0.39,0.95,1.35,28,22,25
Kearney,0.64,0.36,1.0,24,31,26
Van Horn,0.01,0.96,0.97,32,21,27
Lutheran South,0.3,0.65,0.95,30,30,28
North Point,0.46,0.31,0.76,27,32,29
Jefferson City,-0.54,1.29,0.75,45,16,30
Smithville,-0.15,0.75,0.59,35,29,31
Rolla,0.46,0.06,0.52,26,38,32
Belton,0.32,0.15,0.46,29,35,33
William Chrisman,-0.39,0.76,0.37,40,27,34
DeSoto,-0.5,0.77,0.27,43,26,35
Union,-0.44,0.22,-0.22,41,34,36
Hillsboro,-0.37,0.11,-0.26,38,37,37
Parkway North,-0.06,-0.22,-0.28,33,43,38
Pacific,-0.48,0.12,-0.36,42,36,39
Camdenton,-0.26,-0.3,-0.56,36,45,40
Warrensburg,-0.38,-0.18,-0.56,39,41,41
Guadalupe Centers Charter,-0.09,-0.61,-0.7,34,48,42
Grandview,-0.85,0.04,-0.81,47,39,43
Raytown South,-0.52,-0.33,-0.85,44,46,44
Washington,0.08,-1.13,-1.04,31,51,45
Branson,-0.76,-0.29,-1.05,46,44,46
Sikeston,-1.12,-0.04,-1.16,50,40,47
Poplar Bluff,-0.31,-1.13,-1.44,37,52,48
Bolivar,-1.39,-0.18,-1.57,52,42,49
Windsor (Imperial),-1.24,-0.78,-2.02,51,49,50
West Plains,-1.56,-0.57,-2.13,55,47,51
Willard,-1.44,-1.42,-2.86,53,54,52
Warrenton,-1.11,-1.8,-2.91,49,56,53
Webb City,-1.55,-1.36,-2.91,54,53,54
Carl Junction,-1.62,-1.5,-3.12,58,55,55
McDonald County,-2.09,-1.09,-3.18,59,50,56
Ruskin,-0.92,-2.82,-3.73,48,59,57
Hillcrest,-2.28,-1.93,-4.21,60,57,58
Parkview,-1.59,-2.72,-4.32,56,58,59
Festus,-1.61,-3.43,-5.03,57,60,60
Winnetonka,-3.78,-4.69,-8.47,62,61,61
Hazelwood East,-3.63,-5.72,-9.35,61,63,62
McCluer North,-4.92,-4.85,-9.77,63,62,63
