Date,Home Team,Home Score,Away Team,Away Score
2022-08-26,St. Pius X (Kansas City),0,Barstow,4
2022-08-26,Lebanon,0,Carl Junction,4
2022-08-26,Springfield Catholic,2,Central (Springfield),1
2022-08-26,Eureka,1,Christian Brothers College,0
2022-08-26,Savannah,1,Clinton,0
2022-08-26,De Smet Jesuit,2,Francis Howell,0
2022-08-26,Pattonville,0,Francis Howell North,4
2022-08-26,Ft. Zumwalt South,4,Helias Catholic,2
2022-08-26,Nixa,3,Hickman,2
2022-08-26,Lutheran North,0,John Burroughs,8
2022-08-26,Southern Boone,3,Kirksville,1
2022-08-26,Crocker,0,Logan-Rogersville,8
2022-08-26,Liberty (Wentzville),1,Mehlville,1
2022-08-26,Bolivar,2,New Covenant Academy,0
2022-08-26,Sacred Heart,0,Osage,5
2022-08-26,Lee's Summit West,0,Park Hill South,5
2022-08-26,Marquette,8,Parkway South,0
2022-08-26,Jackson,1,Rockwood Summit,4
2022-08-26,Gateway Science Charter,6,Soldan International Studies,0
2022-08-26,Veritas Christian Academy,2,St. Charles West,1
2022-08-26,Kirkwood,5,Webster Groves,0
2022-08-26,West Plains,2,Webb City,0
2022-08-26,Parkway Central,1,Timberland,2
2022-08-26,Winfield,1,Troy Buchanan,7
2022-08-26,Republic,0,Waynesville,1
2022-08-26,Greenwood,1,Willard,9
2022-08-27,Ozark,4,Belton,1
2022-08-27,Valley Park,1,Bishop DuBourg,5
2022-08-27,Jefferson City,3,Camdenton,0
2022-08-27,Willard,4,Carl Junction,1
2022-08-27,Logan-Rogersville,3,Carl Junction,1
2022-08-27,North Kansas City,0,Center,2
2022-08-27,Perryville,1,Central (Cape Girardeau),3
2022-08-27,SLUH,2,Chaminade College Prep,1
2022-08-27,Webster Groves,1,Christian Brothers College,2
2022-08-27,Principia,0,Clayton,2
2022-08-27,Sacred Heart,3,Clinton,1
2022-08-27,Lebanon,7,Crocker,1
2022-08-27,Greenwood,9,Crocker,1
2022-08-27,Parkway North,0,Francis Howell Central,3
2022-08-27,Parkway West,3,Ft. Zumwalt East,4
2022-08-27,Orchard Farm,0,Ft. Zumwalt North,5
2022-08-27,Lindbergh,0,Ft. Zumwalt West,3
2022-08-27,Liberty North,1,Grain Valley,3
2022-08-27,Kickapoo,2,Hickman,1
2022-08-27,Canton,1,Ladue Horton Watkins,8
2022-08-27,West Plains,1,Logan-Rogersville,0
2022-08-27,MICDS,1,Lutheran South,2
2022-08-27,St. Pius X (Festus),5,Maplewood-Richmond Hts.,1
2022-08-27,John Burroughs,6,Notre Dame (Cape Girardeau),2
2022-08-27,St. Michael the Archangel,2,Oak Grove,0
2022-08-27,Savannah,0,Osage,1
2022-08-27,Central (Cape Girardeau),1,Poplar Bluff,0
2022-08-27,Sikeston,5,Poplar Bluff,3
2022-08-27,Westminster Christian Academy,1,Priory,0
2022-08-27,Pleasant Hill,0,Raytown South,2
2022-08-27,Guadalupe Centers Charter,0,Rockhurst,8
2022-08-27,Hannibal,2,Rolla,3
2022-08-27,Perryville,1,Sikeston,0
2022-08-27,Lutheran St. Charles,2,St. Charles,1
2022-08-27,Vianney,1,St. Dominic,0
2022-08-27,Greenwood,0,Webb City,3
2022-08-27,Lebanon,3,Webb City,0
2022-08-27,Willard,0,West Plains,2
2022-08-29,Benton,0,Bishop LeBlond,2
2022-08-29,Lincoln College Prep,1,Blue Springs,2
2022-08-29,Marshfield,1,Camdenton,4
2022-08-29,Winfield,1,Canton,1
2022-08-29,Lafayette (St. Joseph),1,Central (St. Joseph),6
2022-08-29,Willard,0,Fatima,8
2022-08-29,Northeast (Kansas City),1,Knob Noster,2
2022-08-29,Ft. Zumwalt South,0,Lafayette (Wildwood),4
2022-08-29,St. Pius X (Kansas City),1,Oak Grove,4
2022-08-29,Raytown,0,Oak Park,6
2022-08-29,Ritenour,0,Pattonville,1
2022-08-29,Van Horn,0,Raymore-Peculiar,3
2022-08-29,Lee's Summit West,3,Rockhurst,1
2022-08-29,Pembroke Hill,5,Smithville,0
2022-08-29,Kearney,0,Staley,4
2022-08-29,Lutheran (Kansas City),4,Warrensburg,6
2022-08-30,Gateway Science Charter,0,Affton,2
2022-08-30,Cassville,4,Aurora,1
2022-08-30,Hillsboro,0,Bayless,1
2022-08-30,Maplewood-Richmond Hts.,0,Bishop DuBourg,5
2022-08-30,Platte County,1,Blue Springs South,3
2022-08-30,East (Kansas City),0,Blue Springs South,4
2022-08-30,Waynesville,5,Bolivar,2
2022-08-30,Rolla,2,Camdenton,0
2022-08-30,Jefferson City,1,Capital City,0
2022-08-30,Webb City,2,Carl Junction,0
2022-08-30,Parkview,0,Central (Springfield),8
2022-08-30,Bishop LeBlond,1,Central (St. Joseph),0
2022-08-30,Cameron,0,Chillicothe,8
2022-08-30,Ladue Horton Watkins,2,Christian Brothers College,0
2022-08-30,John Burroughs,1,Clayton,0
2022-08-30,Boonville,2,Clinton,1
2022-08-30,Brentwood,2,DeSoto,4
2022-08-30,Mexico,5,Elsberry,1
2022-08-30,Parkway South,0,Eureka,1
2022-08-30,Webster Groves,1,Fox,0
2022-08-30,Parkway Central,1,Francis Howell North,1
2022-08-30,Francis Howell Central,1,Ft. Zumwalt North,0
2022-08-30,Lutheran St. Charles,0,Ft. Zumwalt West,1
2022-08-30,Fatima,1,Fulton,5
2022-08-30,Lebanon,0,Glendale,8
2022-08-30,STEAM Academy,8,Hancock,0
2022-08-30,Grain Valley,5,Harrisonville,2
2022-08-30,Kickapoo,9,Hillcrest,1
2022-08-30,Rock Bridge,3,Kirkwood,1
2022-08-30,Cole Camp,0,Knob Noster,4
2022-08-30,Benton,3,Lafayette (St. Joseph),2
2022-08-30,Holt,1,Lafayette (Wildwood),0
2022-08-30,Guadalupe Centers Charter,1,Liberty,7
2022-08-30,St. Charles,4,Lindbergh,3
2022-08-30,Barstow,4,Lone Jack,1
2022-08-30,Principia,9,Lutheran North,1
2022-08-30,Westminster Christian Academy,3,Lutheran South,1
2022-08-30,New Covenant Academy,1,McDonald County,0
2022-08-30,Timberland,0,Mehlville,1
2022-08-30,Priory,1,MICDS,0
2022-08-30,Marshall,8,Moberly,0
2022-08-30,Branson,1,Neosho,3
2022-08-30,Joplin,0,Nixa,4
2022-08-30,Windsor (Imperial),1,North County,2
2022-08-30,Pleasant Hill,1,North Kansas City,5
2022-08-30,Francis Howell,1,Oakville,2
2022-08-30,Southern Boone,0,Osage,3
2022-08-30,East (Kansas City),2,Park Hill,1
2022-08-30,Orchard Farm,2,Parkway North,1
2022-08-30,Sacred Heart,9,Pembroke Hill,1
2022-08-30,Notre Dame (Cape Girardeau),3,Perryville,2
